Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.264874	1.938537	18.844000	25.400000	
0.100000	1.789966	1.872655	31.454000	30.700000	
0.100000	1.540544	1.486430	42.916000	44.990000	
0.100000	1.282572	1.393642	53.566000	51.020000	
0.100000	1.084688	1.061372	61.154000	62.220000	
0.100000	0.927448	1.006449	66.960000	66.740000	
0.100000	0.819336	0.946932	71.330000	67.920000	
0.100000	0.737558	0.797766	74.038000	72.300000	
0.100000	0.688502	0.717719	76.178000	75.470000	
0.100000	0.650356	0.723354	77.506000	75.440000	
0.100000	0.629434	0.757266	78.276000	74.450000	
0.100000	0.605528	0.802737	79.108000	74.120000	
0.100000	0.587257	0.801523	79.804000	72.670000	
0.100000	0.573728	0.806631	80.214000	73.210000	
0.100000	0.565363	0.837694	80.546000	72.890000	
0.100000	0.546912	0.726618	81.050000	75.150000	
0.100000	0.545982	0.621041	81.114000	79.570000	
0.100000	0.529709	0.701433	81.806000	76.520000	
0.100000	0.531590	0.810487	81.690000	73.970000	
0.100000	0.514049	0.728304	82.352000	75.760000	
0.100000	0.514753	0.642574	82.418000	77.650000	
0.100000	0.509095	0.715821	82.620000	77.190000	
0.100000	0.496308	0.574691	82.920000	80.760000	
0.100000	0.493722	0.608322	83.218000	79.220000	
0.100000	0.499292	0.598180	82.752000	78.690000	
0.100000	0.491067	0.821990	83.246000	73.950000	
0.100000	0.488334	0.792828	83.186000	74.430000	
0.100000	0.486868	0.596883	83.152000	79.420000	
0.100000	0.477019	0.629425	83.560000	78.880000	
0.100000	0.473377	0.528273	83.686000	82.000000	
0.100000	0.471167	0.663907	83.822000	77.610000	
0.100000	0.474728	0.565895	83.514000	80.590000	
0.100000	0.466460	0.718693	83.870000	77.100000	
0.100000	0.468100	0.569081	83.790000	81.120000	
0.100000	0.456351	0.526682	84.220000	81.980000	
0.100000	0.464492	0.907122	84.028000	70.030000	
0.100000	0.454869	0.665879	84.358000	78.500000	
0.100000	0.457595	0.817761	84.384000	74.680000	
0.100000	0.461315	0.584930	84.078000	80.630000	
0.100000	0.447888	0.828068	84.504000	74.750000	
0.100000	0.451366	0.908860	84.600000	72.030000	
0.100000	0.455237	0.808142	84.302000	74.410000	
0.100000	0.454547	0.618369	84.378000	79.550000	
0.100000	0.449122	0.669741	84.376000	78.650000	
0.100000	0.444992	0.777876	84.542000	76.620000	
0.100000	0.446909	0.722079	84.580000	76.160000	
0.100000	0.445126	0.752465	84.666000	75.210000	
0.100000	0.442618	0.560948	84.600000	81.040000	
0.100000	0.435898	1.025098	84.922000	70.280000	
0.100000	0.439076	0.668835	84.796000	78.160000	
0.100000	0.436054	0.549503	85.024000	81.600000	
0.100000	0.447284	0.635893	84.608000	78.900000	
0.100000	0.436774	0.880085	84.842000	70.740000	
0.100000	0.435315	0.688384	84.896000	76.480000	
0.100000	0.432626	0.802398	85.098000	74.870000	
0.100000	0.428282	0.636819	85.346000	79.350000	
0.100000	0.431803	0.629065	85.154000	78.460000	
0.100000	0.431701	0.612724	85.182000	79.070000	
0.100000	0.440724	0.791392	84.988000	74.910000	
0.100000	0.434076	0.665305	85.084000	78.450000	
0.100000	0.426986	0.649248	85.266000	78.300000	
0.100000	0.428429	0.592545	85.222000	80.210000	
0.100000	0.429095	0.592595	85.254000	80.110000	
0.100000	0.428856	0.568749	85.282000	81.350000	
0.100000	0.425803	0.570778	85.300000	80.840000	
0.100000	0.424605	0.664220	85.252000	78.280000	
0.100000	0.430075	0.723923	85.252000	77.040000	
0.100000	0.422645	0.755472	85.316000	76.850000	
0.100000	0.420270	0.794742	85.506000	73.420000	
0.100000	0.424285	0.854909	85.332000	73.580000	
0.100000	0.421846	0.644695	85.444000	78.840000	
0.100000	0.427376	0.619928	85.326000	78.710000	
0.100000	0.423825	1.250090	85.462000	64.310000	
0.100000	0.417112	0.638722	85.620000	79.330000	
0.100000	0.427194	0.565845	85.324000	80.970000	
0.100000	0.423499	0.578756	85.328000	80.900000	
0.100000	0.421087	0.618732	85.686000	80.130000	
0.100000	0.417872	0.542873	85.668000	81.290000	
0.100000	0.418903	0.751497	85.574000	76.060000	
0.100000	0.418188	0.573192	85.682000	80.810000	
0.100000	0.419506	0.656209	85.624000	77.320000	
0.100000	0.421770	0.594619	85.424000	80.370000	
0.100000	0.419057	0.666569	85.644000	78.280000	
0.100000	0.416168	0.722358	85.640000	77.720000	
0.100000	0.412834	0.598313	85.870000	80.180000	
0.100000	0.412685	0.632507	85.672000	79.110000	
0.100000	0.417125	0.600858	85.510000	80.200000	
0.100000	0.421307	0.505306	85.528000	82.860000	
0.100000	0.415405	0.886862	85.644000	71.740000	
0.100000	0.410026	0.897764	85.846000	71.710000	
0.100000	0.420638	0.545329	85.544000	81.780000	
0.100000	0.410621	0.593377	85.864000	80.180000	
0.100000	0.410505	0.664228	85.782000	78.440000	
0.100000	0.418727	0.529924	85.734000	81.800000	
0.100000	0.409775	0.658026	85.882000	77.440000	
0.100000	0.414136	0.672550	85.728000	78.930000	
0.100000	0.410506	0.762512	85.820000	77.570000	
0.100000	0.423329	0.763403	85.284000	76.540000	
0.100000	0.412095	1.006000	85.988000	70.550000	
0.100000	0.413903	0.539605	85.782000	82.040000	
0.100000	0.410243	0.564717	85.902000	80.590000	
0.100000	0.410856	0.562732	85.842000	81.080000	
0.100000	0.408433	0.829352	85.846000	74.040000	
0.100000	0.410448	0.626085	86.044000	78.410000	
0.100000	0.408300	0.561300	85.842000	81.000000	
0.100000	0.409965	0.552402	85.854000	80.750000	
0.100000	0.407633	0.669213	86.100000	78.420000	
0.100000	0.409025	0.763592	85.874000	76.620000	
0.100000	0.403948	0.660835	86.200000	78.650000	
0.100000	0.413424	0.536079	85.960000	82.000000	
0.100000	0.407580	0.560753	85.962000	80.800000	
0.100000	0.413227	0.745318	85.780000	77.370000	
0.100000	0.405333	0.639204	86.060000	78.600000	
0.100000	0.411276	0.655541	85.868000	78.640000	
0.100000	0.404028	0.509362	86.184000	83.100000	
0.100000	0.407615	0.812562	86.042000	76.030000	
0.100000	0.408351	0.824217	85.984000	73.630000	
0.100000	0.408529	0.703938	85.910000	77.730000	
0.100000	0.403252	0.732251	86.164000	75.650000	
0.100000	0.407363	0.906088	85.886000	73.530000	
0.100000	0.406680	0.693675	85.990000	76.840000	
0.100000	0.404936	0.651146	86.116000	79.080000	
0.100000	0.405376	0.606744	85.970000	79.630000	
0.100000	0.399885	0.585792	86.244000	80.190000	
0.100000	0.398280	0.624993	86.346000	79.200000	
0.100000	0.403617	0.549815	86.156000	81.140000	
0.100000	0.407579	0.577115	85.918000	80.600000	
