Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.414739	2.043582	15.724000	22.650000	
0.100000	1.886608	1.800234	27.234000	32.080000	
0.100000	1.695029	1.571949	36.014000	40.470000	
0.100000	1.432634	1.489722	47.354000	46.320000	
0.100000	1.165480	1.153207	58.076000	58.710000	
0.100000	0.961466	0.899241	66.070000	68.540000	
0.100000	0.835799	0.855720	70.598000	71.060000	
0.100000	0.748379	0.799000	73.958000	73.090000	
0.100000	0.696751	1.027628	76.094000	66.710000	
0.100000	0.663991	0.700503	77.076000	75.600000	
0.100000	0.635133	0.967885	78.038000	68.510000	
0.100000	0.614416	0.988592	78.900000	68.380000	
0.100000	0.599227	0.842361	79.312000	71.790000	
0.100000	0.586331	1.367012	79.810000	63.550000	
0.100000	0.576374	0.746427	80.042000	73.530000	
0.100000	0.564183	0.619043	80.638000	79.170000	
0.100000	0.557788	0.656657	80.718000	77.420000	
0.100000	0.542676	0.716222	81.232000	76.980000	
0.100000	0.535538	0.794234	81.552000	74.010000	
0.100000	0.527905	0.663545	81.818000	78.040000	
0.100000	0.522492	0.659410	81.948000	76.790000	
0.100000	0.518570	0.643913	82.166000	78.480000	
0.100000	0.510291	1.013673	82.470000	68.660000	
0.100000	0.504043	0.646402	82.650000	77.990000	
0.100000	0.501457	0.624945	82.820000	77.980000	
0.100000	0.495471	0.857284	83.050000	72.040000	
0.100000	0.488691	0.847392	83.126000	73.620000	
0.100000	0.485498	0.579907	83.252000	79.970000	
0.100000	0.488595	0.593706	83.244000	80.240000	
0.100000	0.486112	0.730560	83.280000	76.100000	
0.100000	0.479381	0.663394	83.640000	78.120000	
0.100000	0.471640	0.539677	83.878000	81.580000	
0.100000	0.470797	0.647918	83.796000	78.680000	
0.100000	0.473765	0.683975	83.680000	76.450000	
0.100000	0.466131	0.655611	83.934000	77.920000	
0.100000	0.462572	0.672414	84.114000	78.170000	
0.100000	0.469480	0.625230	83.856000	78.830000	
0.100000	0.459320	0.842914	84.172000	72.880000	
0.100000	0.457347	0.593687	84.294000	79.390000	
0.100000	0.462593	0.625430	83.986000	78.860000	
0.100000	0.456775	0.570657	84.316000	81.140000	
0.100000	0.454459	0.800769	84.294000	73.930000	
0.100000	0.453701	0.677304	84.450000	77.120000	
0.100000	0.445210	0.704680	84.508000	77.440000	
0.100000	0.449302	0.872900	84.514000	73.080000	
0.100000	0.448268	0.613675	84.490000	79.250000	
0.100000	0.451051	0.684255	84.354000	77.790000	
0.100000	0.445608	0.546188	84.694000	81.130000	
0.100000	0.448752	0.667901	84.608000	77.510000	
0.100000	0.440109	0.698697	84.918000	77.330000	
0.100000	0.439116	0.672168	84.906000	78.230000	
0.100000	0.440584	0.848423	84.954000	74.000000	
0.100000	0.441546	0.983801	84.904000	71.690000	
0.100000	0.442785	0.633146	84.966000	77.870000	
0.100000	0.440983	0.625509	84.882000	79.910000	
0.100000	0.437124	0.632795	85.048000	78.700000	
0.100000	0.436257	0.570099	84.846000	80.420000	
0.100000	0.436670	0.589692	84.812000	80.360000	
0.100000	0.433868	0.541893	84.944000	81.500000	
0.100000	0.436785	0.622779	85.104000	79.490000	
0.100000	0.437144	0.751259	84.944000	75.670000	
0.100000	0.434955	0.680276	85.064000	77.450000	
0.100000	0.430125	0.591420	85.372000	80.600000	
0.100000	0.435097	0.828762	85.036000	74.530000	
0.100000	0.433574	0.553741	85.206000	81.540000	
0.100000	0.429113	0.598488	85.244000	79.320000	
0.100000	0.425147	0.554581	85.504000	80.670000	
0.100000	0.429522	0.622319	85.154000	79.180000	
0.100000	0.431550	0.587568	85.054000	80.390000	
0.100000	0.420366	0.554057	85.512000	80.670000	
0.100000	0.429536	0.554333	85.352000	81.190000	
0.100000	0.427790	0.686502	85.280000	77.720000	
0.100000	0.431523	0.688870	85.166000	78.320000	
0.100000	0.421598	0.667613	85.628000	77.740000	
0.100000	0.422856	0.654637	85.570000	78.430000	
0.100000	0.422874	0.711856	85.512000	77.010000	
0.100000	0.418839	0.633529	85.676000	79.420000	
0.100000	0.418450	0.529754	85.566000	82.480000	
0.100000	0.420878	0.590502	85.558000	79.680000	
0.100000	0.424376	0.585566	85.270000	80.290000	
0.100000	0.422474	0.804354	85.386000	74.620000	
0.100000	0.422900	0.869213	85.460000	72.900000	
0.100000	0.425892	1.040692	85.236000	70.980000	
0.100000	0.421428	0.634958	85.352000	79.010000	
0.100000	0.428654	0.562468	85.248000	81.220000	
0.100000	0.419454	0.728319	85.560000	76.110000	
0.100000	0.423714	0.625166	85.344000	78.460000	
0.100000	0.423614	0.708701	85.486000	77.350000	
0.100000	0.422561	0.601526	85.566000	79.740000	
0.100000	0.423071	0.604376	85.448000	79.830000	
0.100000	0.424093	0.569136	85.322000	80.620000	
0.100000	0.415347	0.520535	85.760000	82.170000	
0.100000	0.416325	0.585079	85.548000	80.880000	
0.100000	0.422183	0.796236	85.468000	73.900000	
0.100000	0.412463	0.781225	85.870000	75.170000	
0.100000	0.417279	0.928597	85.780000	72.190000	
0.100000	0.419768	0.673485	85.486000	78.950000	
0.100000	0.425419	0.609121	85.416000	79.320000	
0.100000	0.415523	0.741949	85.608000	76.850000	
0.100000	0.419915	0.929806	85.554000	72.930000	
0.100000	0.413997	0.556140	85.902000	81.740000	
0.100000	0.414400	0.630044	85.778000	79.100000	
0.100000	0.418285	0.632790	85.588000	79.670000	
0.100000	0.417065	0.971764	85.792000	70.000000	
0.100000	0.413763	0.629762	85.804000	79.220000	
0.100000	0.417280	0.911449	85.630000	73.290000	
0.100000	0.415659	0.810940	85.730000	75.800000	
0.100000	0.414601	0.636344	85.708000	79.020000	
0.100000	0.414465	0.798192	85.810000	73.970000	
0.100000	0.415953	0.532273	85.536000	81.950000	
0.100000	0.414620	0.713714	85.762000	77.370000	
0.100000	0.415105	0.646009	85.652000	78.510000	
0.100000	0.414526	0.596662	85.828000	80.020000	
0.100000	0.412138	0.870583	85.738000	72.360000	
0.100000	0.417036	0.726848	85.740000	76.480000	
0.100000	0.414536	0.681022	85.766000	77.750000	
0.100000	0.414295	0.828011	85.738000	73.670000	
0.100000	0.406302	0.739064	86.156000	76.380000	
0.100000	0.413572	0.758344	85.802000	77.050000	
