Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.323891	2.053278	17.412000	20.910000	
0.100000	1.952082	1.781424	25.534000	31.650000	
0.100000	1.812659	1.757245	30.996000	32.310000	
0.100000	1.669523	1.746021	36.820000	36.720000	
0.100000	1.495285	1.426623	44.800000	49.640000	
0.100000	1.311212	1.278079	52.480000	54.530000	
0.100000	1.192372	1.053792	57.182000	62.930000	
0.100000	1.107003	1.203100	60.236000	59.350000	
0.100000	1.020358	1.180448	63.606000	61.360000	
0.100000	0.972267	0.934699	65.764000	68.210000	
0.100000	0.933105	1.483400	67.474000	57.440000	
0.100000	0.903585	0.900179	68.008000	68.990000	
0.100000	0.879955	1.391249	69.272000	58.920000	
0.100000	0.854447	0.776368	69.922000	72.920000	
0.100000	0.838264	0.908531	70.308000	70.680000	
0.100000	0.823592	0.741370	71.232000	74.240000	
0.100000	0.810925	0.966451	71.582000	67.140000	
0.100000	0.803731	0.785287	71.718000	73.850000	
0.100000	0.793593	0.729402	72.048000	75.290000	
0.100000	0.788844	0.751839	72.540000	74.450000	
0.100000	0.782347	0.930396	72.570000	69.880000	
0.100000	0.775046	0.807433	73.030000	73.080000	
0.100000	0.763972	0.935669	73.382000	70.080000	
0.100000	0.756599	0.808762	73.654000	74.780000	
0.100000	0.754570	0.704741	73.664000	76.150000	
0.100000	0.757000	0.732920	73.502000	74.740000	
0.100000	0.741780	0.645521	73.892000	78.870000	
0.100000	0.748786	0.616326	73.882000	78.660000	
0.100000	0.745421	0.583629	73.984000	79.910000	
0.100000	0.745388	0.802120	74.040000	73.790000	
0.100000	0.729767	0.724893	74.334000	75.430000	
0.100000	0.726778	0.998793	74.464000	69.300000	
0.100000	0.731085	0.937961	74.632000	70.810000	
0.100000	0.728457	0.622414	74.696000	79.790000	
0.100000	0.716302	0.700203	75.016000	76.540000	
0.100000	0.719941	0.938130	74.910000	71.030000	
0.100000	0.712587	0.657172	74.950000	78.400000	
0.100000	0.726000	0.654268	74.514000	78.150000	
0.100000	0.716324	0.556173	75.036000	81.170000	
0.100000	0.709479	1.025507	75.128000	69.000000	
0.100000	0.710846	1.144532	75.496000	66.910000	
0.100000	0.705295	0.761481	75.294000	74.300000	
0.100000	0.703693	0.937634	75.474000	72.000000	
0.100000	0.712039	0.703791	75.160000	77.120000	
0.100000	0.699204	0.827957	75.780000	74.380000	
0.100000	0.699470	0.803702	75.654000	74.430000	
0.100000	0.708551	0.763851	75.332000	74.930000	
0.100000	0.702570	0.629851	75.428000	78.360000	
0.100000	0.696110	0.805526	75.680000	75.120000	
0.100000	0.706173	0.814793	75.434000	75.040000	
0.100000	0.700921	0.673038	75.596000	78.530000	
0.100000	0.696065	0.612703	75.680000	77.990000	
0.100000	0.694210	0.774674	75.752000	74.120000	
0.100000	0.691144	1.071336	75.880000	67.750000	
0.100000	0.688167	0.564967	75.856000	80.410000	
0.100000	0.690497	0.620349	75.952000	79.110000	
0.100000	0.685846	0.764671	76.092000	75.140000	
0.100000	0.696253	0.880997	75.742000	70.950000	
0.100000	0.679841	0.841397	76.386000	72.860000	
0.100000	0.686718	0.733929	76.204000	76.480000	
0.100000	0.687131	0.648318	76.094000	77.580000	
0.100000	0.688722	0.744988	76.158000	75.880000	
0.100000	0.682363	0.736163	76.298000	76.630000	
0.100000	0.680044	0.843414	76.192000	73.800000	
0.100000	0.681749	0.720345	76.158000	76.570000	
0.100000	0.682559	0.767672	76.286000	73.760000	
0.100000	0.671979	0.757204	76.638000	75.800000	
0.100000	0.679092	0.640802	76.474000	78.830000	
0.100000	0.682967	1.034397	76.252000	69.650000	
0.100000	0.674489	0.746751	76.596000	76.420000	
0.100000	0.675056	0.632242	76.414000	78.120000	
0.100000	0.678328	0.755186	76.340000	75.000000	
0.100000	0.675788	0.885436	76.272000	72.940000	
0.100000	0.679877	0.591203	76.266000	79.870000	
0.100000	0.672688	0.596442	76.702000	79.130000	
0.100000	0.676163	0.671880	76.662000	77.380000	
0.100000	0.683215	0.551513	76.206000	81.230000	
0.100000	0.674646	0.656990	76.494000	78.210000	
0.100000	0.673396	0.598052	76.638000	80.150000	
0.100000	0.679163	0.836606	76.394000	73.420000	
0.100000	0.675303	0.883448	76.380000	72.120000	
0.100000	0.669919	0.672960	76.650000	77.870000	
0.100000	0.669081	0.669821	76.660000	78.460000	
0.100000	0.669267	0.618251	76.816000	79.780000	
0.100000	0.674868	0.811740	76.356000	74.610000	
0.100000	0.676833	0.715368	76.368000	76.410000	
0.100000	0.673863	0.541628	76.588000	81.390000	
0.100000	0.664201	0.994036	76.746000	73.530000	
0.100000	0.674501	0.632409	76.486000	79.080000	
0.100000	0.667197	0.724986	76.862000	76.750000	
0.100000	0.668918	0.715540	76.774000	77.090000	
0.100000	0.660033	0.663289	76.860000	77.880000	
0.100000	0.662177	0.690532	77.064000	77.210000	
0.100000	0.669108	0.722676	76.642000	76.280000	
0.100000	0.673106	0.811383	76.686000	73.720000	
0.100000	0.666766	0.618816	76.780000	79.420000	
0.100000	0.662335	0.753446	76.750000	73.710000	
0.100000	0.665642	0.709462	76.868000	76.400000	
0.100000	0.664848	0.692209	76.834000	76.810000	
0.100000	0.671614	0.700840	76.476000	76.190000	
0.100000	0.671329	0.611842	76.744000	79.140000	
0.100000	0.666182	0.642954	76.992000	78.820000	
0.100000	0.665180	0.631861	76.806000	79.200000	
0.100000	0.668861	0.614179	76.844000	79.690000	
0.100000	0.664424	0.877668	76.792000	71.950000	
0.100000	0.666399	0.574713	76.812000	80.270000	
0.100000	0.669324	0.800205	76.850000	75.170000	
0.100000	0.663017	0.937265	76.772000	71.090000	
0.100000	0.672123	0.876109	76.712000	72.930000	
0.100000	0.658510	0.558304	77.110000	81.560000	
0.100000	0.665626	0.747584	76.808000	74.960000	
0.100000	0.660981	0.982334	76.962000	69.140000	
0.100000	0.662878	0.618492	77.054000	79.060000	
0.100000	0.661260	0.562732	76.942000	81.040000	
0.100000	0.669283	0.914238	76.464000	71.210000	
0.100000	0.664876	1.035166	76.884000	71.510000	
0.100000	0.667487	0.777953	76.718000	74.830000	
0.100000	0.664388	0.767020	76.638000	76.670000	
0.100000	0.660321	0.738477	77.002000	75.610000	
0.100000	0.664440	0.721448	76.872000	76.100000	
0.100000	0.661813	1.087346	76.684000	66.070000	
0.100000	0.658040	0.839004	77.164000	73.000000	
0.100000	0.655153	0.631904	77.292000	78.760000	
0.100000	0.667463	1.366119	76.772000	61.450000	
0.100000	0.653370	0.718369	77.300000	75.830000	
0.100000	0.661033	0.710724	76.986000	77.730000	
0.100000	0.660844	0.861923	77.130000	74.540000	
0.100000	0.662709	0.762187	76.802000	75.360000	
0.100000	0.661244	1.074266	76.926000	69.000000	
0.100000	0.657670	0.780358	76.972000	74.520000	
0.100000	0.651247	0.562513	77.518000	81.100000	
0.100000	0.655206	0.735314	77.264000	75.420000	
0.100000	0.658133	0.647692	77.088000	77.530000	
0.100000	0.657779	0.637439	77.140000	78.400000	
0.100000	0.659583	0.667698	76.898000	79.280000	
0.100000	0.660936	0.924920	77.142000	73.320000	
0.100000	0.665217	0.683330	76.918000	77.300000	
0.100000	0.654049	0.797573	77.176000	74.900000	
0.100000	0.656372	0.775606	77.336000	75.120000	
0.100000	0.655781	0.845205	77.162000	73.740000	
0.100000	0.657057	0.668378	77.112000	77.420000	
0.100000	0.654321	0.598715	77.064000	79.750000	
0.100000	0.652809	0.743002	77.192000	76.280000	
0.100000	0.669486	0.694269	76.458000	76.450000	
0.100000	0.646759	0.611486	77.434000	79.440000	
0.100000	0.657323	0.830963	77.292000	74.480000	
0.100000	0.648751	0.729904	77.452000	76.640000	
0.100000	0.655119	0.611525	77.144000	80.570000	
0.100000	0.654021	0.729268	77.360000	77.130000	
0.100000	0.648565	0.644431	77.182000	78.140000	
0.010000	0.480201	0.283237	83.412000	90.230000	
0.010000	0.415002	0.264736	85.672000	90.840000	
0.010000	0.395841	0.266650	86.346000	90.870000	
0.010000	0.381596	0.254913	86.686000	91.080000	
0.010000	0.372181	0.259923	87.176000	90.980000	
0.010000	0.365319	0.251562	87.388000	91.530000	
0.010000	0.359124	0.248649	87.488000	91.310000	
0.010000	0.353640	0.258200	87.848000	91.290000	
0.010000	0.349050	0.247816	87.782000	91.470000	
0.010000	0.346286	0.236737	87.830000	92.010000	
0.010000	0.346406	0.246096	88.046000	91.570000	
0.010000	0.334792	0.256911	88.186000	91.360000	
0.010000	0.335134	0.239268	88.214000	91.950000	
0.010000	0.331199	0.244495	88.416000	91.900000	
0.010000	0.331115	0.254141	88.436000	91.610000	
0.010000	0.327254	0.253198	88.744000	91.490000	
0.010000	0.324704	0.236359	88.796000	92.200000	
0.010000	0.330196	0.230138	88.578000	92.470000	
0.010000	0.321840	0.247675	88.768000	91.530000	
0.010000	0.324964	0.254471	88.696000	91.430000	
0.010000	0.320720	0.238177	88.714000	92.130000	
0.010000	0.322505	0.255102	88.774000	91.790000	
0.010000	0.323484	0.255103	88.674000	91.400000	
0.010000	0.322614	0.245574	88.720000	91.810000	
0.010000	0.326138	0.295120	88.620000	90.300000	
0.010000	0.321301	0.252990	88.628000	91.580000	
0.010000	0.324012	0.250892	88.712000	91.740000	
0.010000	0.325825	0.247534	88.662000	91.560000	
0.010000	0.320769	0.238435	88.668000	91.670000	
0.010000	0.324356	0.254991	88.622000	91.430000	
0.010000	0.316406	0.240742	88.994000	91.660000	
0.010000	0.319966	0.274036	88.832000	91.130000	
0.010000	0.322526	0.261199	88.650000	91.370000	
0.010000	0.323702	0.258431	88.700000	91.530000	
0.010000	0.319975	0.256532	88.732000	91.390000	
0.010000	0.323898	0.292150	88.702000	90.410000	
0.010000	0.324737	0.255315	88.572000	91.650000	
0.010000	0.321453	0.275375	88.804000	90.960000	
0.010000	0.324733	0.278992	88.774000	90.770000	
0.010000	0.323023	0.262645	88.834000	91.350000	
0.010000	0.318076	0.295253	88.918000	90.360000	
0.010000	0.321535	0.270388	88.726000	91.080000	
0.010000	0.320085	0.259845	88.796000	91.290000	
0.010000	0.322630	0.288245	88.846000	90.430000	
0.010000	0.316437	0.270776	88.888000	91.310000	
0.010000	0.321151	0.257111	88.736000	91.570000	
0.010000	0.321560	0.274936	88.676000	91.040000	
0.010000	0.320947	0.277841	88.834000	90.980000	
0.010000	0.317650	0.281809	89.004000	90.870000	
0.010000	0.322801	0.266780	88.652000	91.200000	
0.010000	0.318348	0.274248	88.956000	91.160000	
0.010000	0.324121	0.314010	88.636000	89.870000	
0.010000	0.320999	0.262461	88.752000	91.270000	
0.010000	0.318743	0.259526	88.850000	91.390000	
0.010000	0.313140	0.313635	89.184000	90.020000	
0.010000	0.318799	0.265233	88.890000	91.170000	
0.010000	0.314199	0.289687	88.980000	90.530000	
0.010000	0.320749	0.267584	88.766000	91.560000	
0.010000	0.319757	0.266776	88.954000	91.450000	
0.010000	0.315433	0.278841	88.844000	90.700000	
0.010000	0.312262	0.294654	89.084000	90.200000	
0.010000	0.317083	0.276528	88.946000	90.900000	
0.010000	0.313650	0.281700	89.036000	90.370000	
0.010000	0.315774	0.248398	89.092000	91.840000	
0.010000	0.313277	0.239954	88.944000	91.900000	
0.010000	0.313374	0.295443	89.102000	90.260000	
0.010000	0.310487	0.334517	89.300000	89.020000	
0.010000	0.315406	0.256963	88.930000	91.590000	
0.010000	0.313754	0.282461	89.136000	90.720000	
0.010000	0.313145	0.284024	89.112000	90.770000	
0.010000	0.314390	0.257162	88.932000	91.500000	
0.010000	0.304324	0.275423	89.400000	90.910000	
0.010000	0.306501	0.263486	89.240000	91.520000	
0.010000	0.307055	0.266775	89.224000	91.210000	
0.010000	0.308818	0.306695	89.264000	90.110000	
0.001000	0.256173	0.191329	91.234000	93.450000	
0.001000	0.228663	0.183564	92.220000	93.510000	
0.001000	0.214616	0.181598	92.760000	93.610000	
0.001000	0.213253	0.182942	92.744000	93.760000	
0.001000	0.210897	0.180708	92.780000	93.830000	
0.001000	0.207187	0.179525	92.984000	93.850000	
0.001000	0.198907	0.179763	93.184000	94.080000	
0.001000	0.195731	0.177548	93.330000	94.110000	
0.001000	0.197892	0.178975	93.316000	93.880000	
0.001000	0.198094	0.175436	93.168000	94.260000	
0.001000	0.197522	0.175576	93.206000	94.030000	
0.001000	0.195090	0.173426	93.302000	94.330000	
0.001000	0.189976	0.174479	93.498000	94.270000	
0.001000	0.187597	0.175295	93.706000	94.230000	
0.001000	0.191384	0.175226	93.606000	94.350000	
0.001000	0.187886	0.176538	93.570000	94.230000	
0.001000	0.185228	0.175669	93.704000	94.430000	
0.001000	0.185096	0.177750	93.716000	94.120000	
0.001000	0.185163	0.176438	93.648000	94.230000	
0.001000	0.185082	0.174932	93.672000	94.250000	
0.001000	0.181034	0.176779	93.912000	94.310000	
0.001000	0.177828	0.178830	93.882000	94.300000	
0.001000	0.180342	0.177609	93.880000	94.340000	
0.001000	0.176189	0.173932	94.036000	94.480000	
0.001000	0.177652	0.179791	93.958000	94.300000	
0.001000	0.181155	0.172477	93.902000	94.430000	
0.001000	0.176404	0.175413	94.064000	94.370000	
0.001000	0.174624	0.175826	94.068000	94.330000	
0.001000	0.177400	0.174164	93.932000	94.370000	
0.001000	0.177621	0.174830	93.902000	94.200000	
0.001000	0.172752	0.172129	94.122000	94.520000	
0.001000	0.172948	0.175479	93.998000	94.480000	
0.001000	0.174734	0.172094	94.038000	94.420000	
0.001000	0.171108	0.173787	94.124000	94.340000	
0.001000	0.173310	0.175134	94.158000	94.500000	
0.001000	0.173129	0.170686	94.198000	94.590000	
