Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.296825	1.917349	16.374000	26.230000	
0.100000	1.738409	1.672175	34.344000	38.910000	
0.100000	1.548433	1.469787	42.972000	46.990000	
0.100000	1.346925	1.261194	51.304000	54.980000	
0.100000	1.145816	1.146921	59.346000	58.340000	
0.100000	0.956424	1.347597	66.048000	57.760000	
0.100000	0.817218	0.964599	71.314000	68.320000	
0.100000	0.731228	0.989696	74.624000	66.010000	
0.100000	0.690022	0.868967	75.966000	71.280000	
0.100000	0.652523	0.865146	77.516000	72.940000	
0.100000	0.630795	0.747957	78.312000	75.090000	
0.100000	0.612658	0.784881	78.666000	72.650000	
0.100000	0.600879	0.876450	79.268000	71.630000	
0.100000	0.587963	0.747992	79.664000	74.210000	
0.100000	0.566129	0.673534	80.518000	76.470000	
0.100000	0.561421	0.770524	80.496000	74.270000	
0.100000	0.554471	0.643591	80.918000	77.840000	
0.100000	0.538153	0.863987	81.520000	72.350000	
0.100000	0.535975	0.851665	81.488000	73.620000	
0.100000	0.525001	0.962316	81.804000	70.230000	
0.100000	0.518724	0.837186	82.168000	73.080000	
0.100000	0.512758	0.753280	82.234000	74.480000	
0.100000	0.511002	0.892982	82.406000	72.380000	
0.100000	0.498374	0.680659	82.732000	76.380000	
0.100000	0.496988	0.761283	83.070000	76.180000	
0.100000	0.489238	0.645865	83.090000	78.150000	
0.100000	0.481164	0.828313	83.386000	73.540000	
0.100000	0.483480	0.750120	83.384000	76.320000	
0.100000	0.479720	0.753970	83.424000	76.530000	
0.100000	0.485645	0.547321	83.190000	81.340000	
0.100000	0.470545	0.559711	83.722000	81.320000	
0.100000	0.468658	0.647966	83.734000	78.130000	
0.100000	0.468716	0.594267	83.828000	80.340000	
0.100000	0.464140	0.576187	83.992000	80.340000	
0.100000	0.469436	0.560138	83.918000	81.430000	
0.100000	0.462235	0.550085	84.124000	81.310000	
0.100000	0.460205	0.838177	84.108000	75.880000	
0.100000	0.457663	0.643926	84.168000	79.350000	
0.100000	0.452337	0.683072	84.470000	76.190000	
0.100000	0.462006	0.788877	84.026000	74.990000	
0.100000	0.450210	0.583521	84.608000	80.120000	
0.100000	0.451445	0.678426	84.618000	76.770000	
0.100000	0.449741	0.638133	84.466000	78.760000	
0.100000	0.446298	0.561852	84.616000	81.010000	
0.100000	0.445389	0.545373	84.692000	81.770000	
0.100000	0.441748	1.097353	84.674000	67.670000	
0.100000	0.442371	0.669534	84.896000	78.950000	
0.100000	0.441036	0.680405	84.918000	77.970000	
0.100000	0.442768	0.577154	84.816000	80.640000	
0.100000	0.436108	0.535302	84.850000	81.670000	
0.100000	0.436848	0.629469	85.000000	78.420000	
0.100000	0.435539	0.527915	85.110000	82.240000	
0.100000	0.438646	0.517703	84.990000	82.440000	
0.100000	0.431733	0.572791	85.064000	80.750000	
0.100000	0.434973	0.856291	85.060000	73.170000	
0.100000	0.435310	0.711810	85.022000	76.500000	
0.100000	0.426696	0.814102	85.554000	73.400000	
0.100000	0.434548	0.640629	85.144000	79.240000	
0.100000	0.428653	0.808074	85.276000	75.610000	
0.100000	0.432005	0.748087	85.202000	75.530000	
0.100000	0.431352	0.650536	85.306000	79.130000	
0.100000	0.423889	0.596999	85.486000	80.420000	
0.100000	0.428837	0.692751	85.354000	77.620000	
0.100000	0.424999	0.856548	85.380000	73.720000	
0.100000	0.422583	0.643895	85.538000	79.060000	
0.100000	0.424207	0.934711	85.472000	72.270000	
0.100000	0.419887	0.668276	85.450000	77.420000	
0.100000	0.428018	0.558490	85.390000	81.570000	
0.100000	0.421203	0.587884	85.624000	80.070000	
0.100000	0.424772	0.555242	85.368000	81.320000	
0.100000	0.420017	0.610221	85.634000	79.570000	
0.100000	0.418307	0.602030	85.618000	80.280000	
0.100000	0.416396	0.734652	85.660000	76.460000	
0.100000	0.419324	0.566622	85.696000	80.180000	
0.100000	0.416863	0.730319	85.548000	77.030000	
0.100000	0.419270	0.623269	85.612000	79.330000	
0.100000	0.420587	0.656245	85.582000	78.620000	
0.100000	0.413857	0.717888	85.872000	77.490000	
0.100000	0.415615	0.520637	85.648000	82.390000	
0.100000	0.412305	0.615837	85.808000	79.200000	
0.100000	0.421870	0.792981	85.536000	75.200000	
0.100000	0.414252	0.724145	85.792000	76.280000	
0.100000	0.415919	0.576856	85.608000	80.460000	
0.100000	0.412756	0.785510	85.622000	76.760000	
0.100000	0.422936	0.542498	85.416000	81.850000	
0.100000	0.410535	0.643105	85.906000	78.610000	
0.100000	0.416383	0.585719	85.780000	80.700000	
0.100000	0.406890	0.851437	85.886000	73.640000	
0.100000	0.412304	1.100806	85.888000	68.630000	
0.100000	0.411195	0.533195	85.808000	82.050000	
0.100000	0.413370	0.646163	85.744000	77.690000	
0.100000	0.411546	0.570298	85.946000	81.180000	
0.100000	0.407803	0.709335	85.854000	77.540000	
0.100000	0.411467	0.623890	85.860000	79.540000	
